date,market,turnover,retail_net,foreign_net,institution_net,advancers,decliners,top10_turnover_share
2022-01-01,KOSDAQ,,,,,,,
2022-01-01,KOSPI,,,,,,,
2022-01-02,KOSDAQ,,,,,,,
2022-01-02,KOSPI,,,,,,,
2022-01-03,KOSDAQ,,,,,,,
2022-01-03,KOSPI,,,,,,,
2022-01-04,KOSDAQ,,,,,,,
2022-01-04,KOSPI,,,,,,,
2022-01-05,KOSDAQ,,,,,,,
2022-01-05,KOSPI,,,,,,,
2022-01-06,KOSDAQ,,,,,,,
2022-01-06,KOSPI,,,,,,,
2022-01-07,KOSDAQ,,,,,,,
2022-01-07,KOSPI,,,,,,,
2022-01-08,KOSDAQ,,,,,,,
2022-01-08,KOSPI,,,,,,,
2022-01-09,KOSDAQ,,,,,,,
2022-01-09,KOSPI,,,,,,,
2022-01-10,KOSDAQ,,,,,,,
2022-01-10,KOSPI,,,,,,,
2022-01-11,KOSDAQ,,,,,,,
2022-01-11,KOSPI,,,,,,,
2022-01-12,KOSDAQ,,,,,,,
2022-01-12,KOSPI,,,,,,,
2022-01-13,KOSDAQ,,,,,,,
2022-01-13,KOSPI,,,,,,,
2022-01-14,KOSDAQ,,,,,,,
2022-01-14,KOSPI,,,,,,,
2022-01-15,KOSDAQ,,,,,,,
2022-01-15,KOSPI,,,,,,,
2022-01-16,KOSDAQ,,,,,,,
2022-01-16,KOSPI,,,,,,,
2022-01-17,KOSDAQ,,,,,,,
2022-01-17,KOSPI,,,,,,,
2022-01-18,KOSDAQ,,,,,,,
2022-01-18,KOSPI,,,,,,,
2022-01-19,KOSDAQ,,,,,,,
2022-01-19,KOSPI,,,,,,,
2022-01-20,KOSDAQ,,,,,,,
2022-01-20,KOSPI,,,,,,,
2022-01-21,KOSDAQ,,,,,,,
2022-01-21,KOSPI,,,,,,,
2022-01-22,KOSDAQ,,,,,,,
2022-01-22,KOSPI,,,,,,,
2022-01-23,KOSDAQ,,,,,,,
2022-01-23,KOSPI,,,,,,,
2022-01-24,KOSDAQ,,,,,,,
2022-01-24,KOSPI,,,,,,,
2022-01-25,KOSDAQ,,,,,,,
2022-01-25,KOSPI,,,,,,,
2022-01-26,KOSDAQ,,,,,,,
2022-01-26,KOSPI,,,,,,,
2022-01-27,KOSDAQ,,,,,,,
2022-01-27,KOSPI,,,,,,,
2022-01-28,KOSDAQ,,,,,,,
2022-01-28,KOSPI,,,,,,,
2022-01-29,KOSDAQ,,,,,,,
2022-01-29,KOSPI,,,,,,,
2022-01-30,KOSDAQ,,,,,,,
2022-01-30,KOSPI,,,,,,,
2022-01-31,KOSDAQ,,,,,,,
2022-01-31,KOSPI,,,,,,,
