date,market,errors,missing_fields
2022-01-01,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-01,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-02,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-02,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-03,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-03,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-04,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-04,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-05,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-05,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-06,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-06,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-07,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-07,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-08,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-08,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-09,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-09,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-10,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-10,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-11,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-11,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-12,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-12,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-13,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-13,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-14,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-14,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-15,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-15,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-16,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-16,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-17,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-17,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-18,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-18,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-19,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-19,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-20,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-20,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-21,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-21,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-22,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-22,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-23,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-23,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-24,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-24,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-25,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-25,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-26,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-26,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-27,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-27,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-28,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-28,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-29,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-29,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-30,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-30,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-31,KOSDAQ,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
2022-01-31,KOSPI,turnover:empty|investor:HTTPError|breadth:empty|top10:empty,7
